,n_parcelas,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,map@1,map@3,map@5,map@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,cobertura@1,cobertura@3,cobertura@5,cobertura@10,concentracion@1,concentracion@3,concentracion@5,concentracion@10,auc
Popularidad,183986.0,0.2040916085243225,0.17037709057331085,0.1388377547264099,0.08186982572078705,0.20103423297405243,0.5076404213905334,0.6878812313079834,0.8095736503601074,0.2040916156664094,0.33440995510527977,0.3763088178810707,0.39301851516106273,0.20224881535640188,0.37924338388575046,0.4539953129378945,0.4936950394903958,0.02,0.06,0.1,0.2,1.0,1.0,0.6,0.3,0.8897889008870433
Aleatorio,183986.0,0.020218929275870323,0.020295022055506706,0.020295022055506706,0.020235778763890266,0.019852960482239723,0.059684526175260544,0.09956437349319458,0.19868695735931396,0.020218929701172915,0.03649190699292337,0.045496804104660137,0.058306798108977355,0.020001387692828904,0.0424874791421554,0.058837723110159515,0.09050934838066291,1.0,1.0,1.0,1.0,0.060238278999489095,0.05987955605317796,0.05983824856239062,0.06007196199710847,0.49901868991541465
CF puro,183986.0,0.6873403191566467,0.28610506653785706,0.17801791429519653,0.09319406002759933,0.6804770231246948,0.8441078066825867,0.8747310638427734,0.9153994917869568,0.6873403411129108,0.7596145600450276,0.7667784082605318,0.7723518273503327,0.6850965918837615,0.7818192460773802,0.7943938548154486,0.8075682105124119,1.0,1.0,1.0,1.0,0.4832922070157512,0.33976317038615256,0.2499309730088159,0.15930179470177078,0.9485159244983503
Contenido puro,183986.0,0.3880458176136017,0.2344924658536911,0.16544631123542786,0.09483331441879272,0.38408955931663513,0.6947724223136902,0.8157225847244263,0.9329118728637695,0.3880458295739893,0.5227268197942596,0.5506561217822129,0.5671020296891695,0.3857801975880386,0.5671557653775358,0.6170768965906176,0.655543210833747,0.5,0.8,0.82,1.0,0.9089658995793158,0.5631497324071759,0.4301392497255226,0.25192840759623014,0.9454845099097642
Híbrido,183986.0,0.6989662051200867,0.2955605089664459,0.18475645780563354,0.09662910550832748,0.6921380758285522,0.8724824786186218,0.9081727266311646,0.9493502378463745,0.6989662256910852,0.7766173633984228,0.7850634347782501,0.7907430057293294,0.6966819274331172,0.801771141044346,0.8165328931285257,0.8298558779892824,1.0,1.0,1.0,1.0,0.5283119367777983,0.2891125774062519,0.20475579663670063,0.13518963399389083,0.9687788165553564
Random Forest,183986.0,0.6332111954689026,0.29513657093048096,0.18778063356876373,0.09905482828617096,0.6267798542976379,0.8732230067253113,0.9245050549507141,0.9736823439598083,0.6332112225930234,0.7421727136243458,0.7543490869474369,0.7613964233936134,0.6310424044705338,0.7771590022373192,0.7983164656994391,0.8143624982087359,1.0,1.0,1.0,1.0,0.5757014120639614,0.43440442932252094,0.3417673083821595,0.22160870935832075,0.9748991667246248
XGBoost,183986.0,0.6452338695526123,0.2949354350566864,0.18690338730812073,0.09874720871448517,0.6385638117790222,0.873040497303009,0.9207097291946411,0.9709872007369995,0.6452338764906026,0.7480205317554355,0.7593235596428232,0.7665407398938279,0.6432101486843457,0.781794498408338,0.8014238838494196,0.8178038741542891,1.0,1.0,1.0,1.0,0.5287630580587653,0.458112754955993,0.3663550487537095,0.24240974856782582,0.9747409012348869
ALS,183986.0,0.6636918187141418,0.2967689335346222,0.18083225190639496,0.09431371092796326,0.6570428013801575,0.8754444122314453,0.8884384632110596,0.9266188144683838,0.6636918026371572,0.7627467428077257,0.76585467402713,0.7709110504914194,0.6616007843579349,0.7919221922022347,0.7972584588393349,0.8094906126290475,1.0,1.0,1.0,1.0,0.5030491450436446,0.26576478645114304,0.2004739491048232,0.1385763047188373,0.9483330009770046
