,n_parcelas,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,map@1,map@3,map@5,map@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,cobertura@1,cobertura@3,cobertura@5,cobertura@10,concentracion@1,concentracion@3,concentracion@5,concentracion@10,auc
Popularidad,11349.0,0.19561195373535156,0.16685757040977478,0.1269010603427887,0.07821835577487946,0.19347520172595978,0.4970261752605438,0.62840336561203,0.7735776901245117,0.19561194818926778,0.3249258378124358,0.35578905630452023,0.375228955211773,0.19432835257963682,0.36934353290097804,0.424080883944013,0.4709671131939111,0.02,0.06,0.1,0.2,1.0,1.0,0.6,0.3,0.8670066388047781
Aleatorio,11349.0,0.018856287002563477,0.020001763477921486,0.020565688610076904,0.020266102626919746,0.018606631085276604,0.059271007776260376,0.10152143239974976,0.1994301974773407,0.01885628689752401,0.035715334684406845,0.04524040297236173,0.05797234774898005,0.01872445686970941,0.04176818128488836,0.05907961855548313,0.09047189731459897,1.0,1.0,1.0,1.0,0.059036038417481715,0.0593884923781831,0.060974535201339324,0.059758569036919555,0.4986520953489659
CF puro,11349.0,0.1830117255449295,0.16612328588962555,0.1269010603427887,0.07773373275995255,0.1814623922109604,0.4947352111339569,0.62840336561203,0.769047200679779,0.1830117190941933,0.3181704702323259,0.3495072987341028,0.36769099181756687,0.1824717397756779,0.36382384204871465,0.41946465437262503,0.4641859128284603,0.04,0.1,0.1,0.3,1.0,0.9757394190383881,0.6,0.3,0.8641427128933159
Contenido puro,11349.0,0.2891003489494324,0.18862159550189972,0.1432020664215088,0.08736453950405121,0.2868901789188385,0.5603797435760498,0.7085132002830505,0.8628807067871094,0.28910036126530975,0.40718467608501974,0.44132253453559295,0.4628156176266142,0.2875580862375576,0.4463057254051248,0.5075966692632475,0.5583285021571365,0.62,0.88,0.9,1.0,0.6586483390607102,0.43616177636796194,0.34783681381619524,0.22273328046523924,0.9100517651027853
Híbrido,11349.0,0.27879106998443604,0.1877698451280594,0.13581815361976624,0.08226276189088821,0.27656620740890503,0.5572370886802673,0.671454131603241,0.8126266598701477,0.27879108291479426,0.4014083472846359,0.42785181758549456,0.44708699249077266,0.27763943701405375,0.441325911940141,0.4885634323225206,0.5345554003349856,0.76,0.92,1.0,1.0,0.5580227332804653,0.3753340969835815,0.28125826063970394,0.17835932681293507,0.890635356180013
Random Forest,11349.0,0.4140453040599823,0.23696653544902802,0.16397923231124878,0.09295973926782608,0.4105500876903534,0.7032998204231262,0.8101961612701416,0.9176359176635742,0.4140452903339501,0.5414304735610578,0.5661272162990376,0.5811820296499564,0.41190721267505614,0.583065306929796,0.6271904673740513,0.6625054455897308,0.96,1.0,1.0,1.0,0.711340206185567,0.4414192146150909,0.33860252004581903,0.22732399330337474,0.9401295700342089
XGBoost,11349.0,0.38831615447998047,0.23244336247444153,0.1606132835149765,0.09136489033699036,0.3853790760040283,0.6902444362640381,0.794277012348175,0.9024878144264221,0.38831615120274915,0.5215168247814295,0.545430458875476,0.5607053519854207,0.3866708689811034,0.5650258240707802,0.6078768437118571,0.6435429310162647,1.0,1.0,1.0,1.0,0.6709842276852586,0.47096660498722354,0.3836108908273857,0.25300907568948805,0.9320038937066685
ALS,11349.0,0.021059123799204826,0.02055981568992138,0.019984139129519463,0.02063618041574955,0.020882897078990936,0.060761597007513046,0.09852557629346848,0.20374777913093567,0.02105912415190766,0.03744823332452198,0.04592254824213587,0.05963169610076826,0.021056187031436926,0.04353507123297805,0.05897279087239692,0.09264191875881254,1.0,1.0,1.0,1.0,0.060181513789761214,0.0600346579728023,0.05852498017446471,0.05889505683320116,0.5012794186990523
