,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,map@1,map@3,map@5,map@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,cobertura@1,cobertura@3,cobertura@5,cobertura@10,concentracion@1,concentracion@3,concentracion@5,concentracion@10,auc
Popularidad,0.0036566871770922845,0.0008345472639715945,0.0009851880813101421,0.00041268396571172603,0.002078294014144235,0.0017656334278790431,0.0029417360748012216,0.0015648428609182172,0.0036566871770922845,0.0015490890518082207,0.0019869054838381472,0.0018966758083804477,0.0033529931488733206,0.001708542440986008,0.0022104163916875645,0.0018856607606328082,3.657118196434064e-18,1.4628472785736255e-17,0.0,0.0,0.0,0.0,1.1702778228589004e-16,5.851389114294502e-17,0.0009491742234209568
Aleatorio,0.001272890411622305,0.0006896075999982219,0.0005760555528766307,0.0003257964599766745,0.0009171971528978655,0.0013410072578184848,0.0019334851365557476,0.002747915953150183,0.001272890411622305,0.0009379402944136561,0.001024114162704894,0.0008708543441039394,0.0011158282407560203,0.0009514011003857512,0.0011235199859165276,0.0010112647512655378,0.0,0.0,0.0,0.0,0.0014245954591469892,0.0005836665714829538,0.0005761645212572137,0.00046671100979799686,0.0018053942202615211
CF puro,0.0036566871770922845,0.0021003152320721048,0.001284630945706452,0.0005492229359134028,0.002078294014144235,0.003430657883663015,0.006221955610126602,0.0036299701939907308,0.0036566871770922845,0.0026239244154766528,0.0021975551482279424,0.0022471223999604175,0.0033529931488733206,0.003488916177420168,0.0033650419380211963,0.002993498792361129,3.657118196434064e-18,0.00966091783079296,0.018378731669453627,0.02319003617456811,0.0,0.0001031749084244732,0.00021092389359406958,5.851389114294502e-17,0.001512685308748934
Contenido puro,0.0034503663251570496,0.001700348548146879,0.000981000056631554,0.00045093144342202095,0.002412883420518724,0.0024052319337469928,0.001994408828780637,0.001039972712615396,0.0034503663251570496,0.002373121454922773,0.0023320997041105795,0.002145707189963819,0.0032505791596837393,0.0024739154626919647,0.002266838911697728,0.0018272605495317363,0.019321835661585917,0.020655911179772907,0.016996731711975913,0.013498971154211071,0.005850584016432322,0.006213787934410655,0.0033441285195930344,0.001273446875391529,0.0005974752170908563
Híbrido,0.003061517416068186,0.0012860313150191598,0.0008799501248492487,0.0005087154301659159,0.0021154325517379084,0.001794400919149218,0.0015854106083571752,0.0017561618402671723,0.003061517416068186,0.001939662240972263,0.0019068970198828368,0.001917433554411451,0.002793756739385424,0.001959875655582508,0.0019792418514610996,0.001811944853006246,0.019888578520235067,0.016865480854231375,0.018973665961010293,0.009660917830792967,0.0037832966224356974,0.002597832073379926,0.0018720947862992693,0.0007361566862201701,0.0006865332536254356
Random Forest,0.00347948351850609,0.001232912841231726,0.0008105149254914648,0.0004332785221745649,0.002882978471411561,0.001340380105609893,0.0009987715180484601,0.000992406916431108,0.00347948351850609,0.0020490242887376475,0.0018534974634502053,0.001866856461180054,0.0027985885682022702,0.001475638836997804,0.0012149432707557065,0.0012252014519308113,0.014142135623730965,0.0,0.0,0.0,0.0025693924919672766,0.0017696559266607344,0.0008537036956696368,0.0007288263015134508,0.0004890122824502509
XGBoost,0.0031794653638622917,0.0014539388816607358,0.0008657328302272832,0.0004252414346906664,0.0027996694081969774,0.002080135923181013,0.0015794826624417116,0.0008384663740533666,0.0031794653638622917,0.0021994004631079108,0.001917764985120386,0.0019189081071258546,0.002611954800391222,0.001905249284110879,0.0014016493988458678,0.0012703818072686824,0.006324555320336764,0.0,0.0,0.0,0.0027424644229435426,0.002689506357018789,0.0016066874134206739,0.0015264486743928054,0.0005203998607962262
ALS,0.0016750538963136539,0.000763893939377245,0.0006315070158843133,0.0005126513326705486,0.0012347003683192094,0.0014299555979448216,0.00198503958540182,0.0033933169112099278,0.0016750538963136539,0.001222629561751021,0.0012525665396524298,0.0013332785789187964,0.0013640432973923034,0.0012435148531932448,0.0013511214621057014,0.0017242363700519067,0.0,0.0,0.0,0.0,0.001572330188676102,0.0008160220433962813,0.00046964407326778384,0.00023676347785172552,0.0025808076987303592
