,n_parcelas,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,map@1,map@3,map@5,map@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,cobertura@1,cobertura@3,cobertura@5,cobertura@10,concentracion@1,concentracion@3,concentracion@5,concentracion@10,auc
Popularidad,195335.0,0.20359894633293152,0.17017260193824768,0.13814422488212585,0.08165767043828964,0.20059505105018616,0.5070237517356873,0.6844255328178406,0.8074823617935181,0.20359894540148976,0.33385892611837786,0.37511661589918177,0.39198493840387894,0.20178863498906627,0.3786682006936641,0.4522572790235854,0.49237454272566444,0.02,0.06,0.1,0.2,1.0,1.0,0.6,0.3,0.888465247203005
Aleatorio,195335.0,0.02013975940644741,0.02027798444032669,0.020310748368501663,0.02023754082620144,0.01978054828941822,0.059660498052835464,0.09967807680368423,0.19873014092445374,0.02013975989965956,0.03644678799668945,0.04548190715096287,0.05828736648056662,0.01992719777340032,0.04244568780224129,0.05885177728073302,0.09050717246672654,1.0,1.0,1.0,1.0,0.06016842859702562,0.05985102516190135,0.059904267028438325,0.060053753807561366,0.4989973907026027
CF puro,195335.0,0.6580387353897095,0.2791340947151184,0.17504800856113434,0.0922958105802536,0.6514841914176941,0.8238092064857483,0.8604194521903992,0.9068963527679443,0.6580387539355467,0.7339665759393408,0.7425348788264037,0.7488409571915728,0.655893994056569,0.7575336349973315,0.7726103982110222,0.7876176348530822,1.0,1.0,1.0,1.0,0.5133130263393657,0.3767135092703987,0.2702700488903678,0.16747638672024984,0.9436138251382482
Contenido puro,195335.0,0.3822970688343048,0.23182737827301025,0.16415390372276306,0.09439937770366669,0.37844225764274597,0.686964213848114,0.8094937801361084,0.9288430213928223,0.38229707937645585,0.5160120931846429,0.5443021134631957,0.5610412631914539,0.38007347456494184,0.5601330149070414,0.6107147343593458,0.6498936775280003,0.64,0.88,0.9,1.0,0.8944224025392274,0.5557717084325219,0.4253564389382343,0.25023216525456266,0.9434256518600499
Híbrido,195335.0,0.6745591163635254,0.28929781913757324,0.18191313743591309,0.09579441696405411,0.6679984331130981,0.8541667461395264,0.8944193720817566,0.9414066076278687,0.6745590907927407,0.7548202091563496,0.7643116768059431,0.7707786521066848,0.6723405998483732,0.7808310953031465,0.7974794712420653,0.8127003517731606,1.0,1.0,1.0,1.0,0.5300432590165612,0.29412206380491634,0.20920060409040878,0.13769780121330022,0.964238353472501
Random Forest,195335.0,0.6204776167869568,0.29175686836242676,0.18639980256557465,0.09870173037052155,0.6142168641090393,0.8633504509925842,0.917871356010437,0.9704362154006958,0.6204776409757596,0.7305095519662801,0.7434156648265231,0.7509282595237621,0.618310608879949,0.7658821222719002,0.7883768764320142,0.8055435875396987,1.0,1.0,1.0,1.0,0.5835820513476847,0.43481540259895396,0.3415824097064018,0.22195612665420944,0.9729194426362551
XGBoost,195335.0,0.6303068995475769,0.29130464792251587,0.1853758990764618,0.09831829369068146,0.6238536834716797,0.8624200224876404,0.9133638739585876,0.9670073986053467,0.6303069086441242,0.7348606240561087,0.7468963305205019,0.7545816653942631,0.628305168597049,0.7692001979242621,0.7901787646515226,0.807679280795836,1.0,1.0,1.0,1.0,0.5370261345892953,0.45885785957457703,0.3673545447564441,0.2430230117490465,0.9722579255126942
ALS,195335.0,0.6263700723648071,0.28075867891311646,0.17152996361255646,0.0899946317076683,0.6200945377349854,0.8282272219657898,0.8427512645721436,0.8842161893844604,0.6263700821665344,0.7206632195971024,0.7241053645731123,0.7295802807833999,0.624391709400849,0.74850365887912,0.7544655318547424,0.7677450240321188,1.0,1.0,1.0,1.0,0.4772928558630046,0.25372991698023056,0.192263547239358,0.1340031228402488,0.922165984039529
